Tipo,Ricetta,Calorie,Descrizione
Colazione,Pancake con Sciroppo d'Acero e Frutta,340,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con sciroppo d'acero e frutta fresca.
Colazione,Frutta Fresca (Mango),110,Mangiare mango fresco come colazione.
Colazione,Yogurt con Granola e Frutta,280,Mescolare yogurt con granola e frutta fresca.
Colazione,Porridge con Semi di Chia e Frutta,270,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere semi di chia e frutta fresca.
Colazione,Toast con Marmellata e Formaggio Light,230,Spalmare marmellata e formaggio light su toast.
Colazione,Smoothie di Pesca e Yogurt,240,Frullare pesca e yogurt per una bevanda leggera.
Colazione,Pancake con Frutta e Sciroppo d'Acero,340,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e servirli con frutta e sciroppo d’acero.
Colazione,Frutta Fresca (Kiwi),80,Mangiare kiwi fresco come colazione.
Colazione,Yogurt con Miele e Semi di Lino,270,Mescolare yogurt con miele e semi di lino.
Colazione,Porridge con Banana e Miele,260,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere banana e miele.
Colazione,Toast con Burro e Marmellata,220,Spalmare burro e marmellata su toast.
Colazione,Smoothie di Kiwi e Banana,220,Frullare kiwi e banana per una colazione leggera.
Colazione,Pancake con Frutta Fresca,230,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con frutta fresca.
Colazione,Frutta Fresca (Cocomero),100,Mangiare cocomero fresco come colazione.
Colazione,Yogurt con Miele e Semi di Lino,270,Mescolare yogurt con miele e semi di lino.
Colazione,Porridge con Mela e Cannella,260,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere mela e cannella.
Colazione,Toast con Burro di Mandorle e Miele,270,Spalmare burro di mandorle su toast e aggiungere miele.
Colazione,Smoothie di Fragola e Yogurt,230,Frullare fragole e yogurt per una bevanda fresca.
Colazione,Pancake con Ricotta e Frutta,230,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con ricotta e frutta fresca.
Colazione,Yogurt con Granola e Frutta,280,Mescolare yogurt con granola e frutta fresca.
Colazione,Porridge con Frutta e Semi di Chia,270,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere frutta e semi di chia.
Colazione,Toast con Marmellata e Formaggio Light,230,Spalmare marmellata e formaggio light su toast.
Colazione,Smoothie di Pesca e Yogurt,240,Frullare pesca e yogurt per una bevanda leggera.
Colazione,Pancake con Sciroppo d'Acero e Frutta,340,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con sciroppo d’acero e frutta fresca.
Colazione,Frutta Fresca (Fragole),90,Mangiare fragole fresche come colazione.
Colazione,Yogurt con Miele e Semi di Lino,270,Mescolare yogurt con miele e semi di lino.
Colazione,Porridge con Banana e Miele,260,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere banana e miele.
Colazione,Toast con Burro e Marmellata,220,Spalmare burro e marmellata su toast.
Colazione,Smoothie di Kiwi e Banana,220,Frullare kiwi e banana per una colazione leggera.
Colazione,Pancake con Frutta Fresca,230,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con frutta fresca.
Colazione,Frutta Fresca (Cocomero),100,Mangiare cocomero fresco come colazione.
Colazione,Yogurt con Miele e Semi di Lino,270,Mescolare yogurt con miele e semi di lino.
Colazione,Porridge con Mela e Cannella,260,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere mela e cannella.
Colazione,Toast con Burro di Mandorle e Miele,270,Spalmare burro di mandorle su toast e aggiungere miele.
Colazione,Smoothie di Fragola e Yogurt,230,Frullare fragole e yogurt per una bevanda fresca.
Colazione,Pancake con Ricotta e Frutta,230,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto e guarnire con ricotta e frutta fresca.
Colazione,Yogurt con Granola e Frutta,280,Mescolare yogurt con granola e frutta fresca.
Colazione,Porridge con Frutta e Semi di Chia,270,Per preparare il porridge comincia unendo i fiocchi d'avena e il latte in un pentolino. Cuoci per qualche minuto finchè non si addensa mescolando continuamente. Una volta pronto versa in una ciotola e aggiungere frutta e semi di chia.
Colazione,Toast con Marmellata e Formaggio Light,230,Spalmare marmellata e formaggio light su toast.
Colazione,Porridge con frutta,350,Cuocere l'avena nel latte fino a renderla morbida. Aggiungere frutta fresca e un po' di miele.
Colazione,Toast con avocado e uova,400,"Tosta il pane. Schiaccia l'avocado e aggiungi condimenti a piacimento. Spalma il guacamole sul pane tostato. Cuocere un uovo (strapazzato o al tegamino) e aggiungerlo sopra."
Colazione,Yogurt greco con miele e noci,300,Mescolare yogurt greco con miele e noci tritate.
Colazione,Smoothie di banana e spinaci,250,"Frullare una banana, una manciata di spinaci freschi e latte (o una bevanda vegetale) fino a ottenere un composto omogeneo."
Colazione,Pancake integrali con sciroppo d'acero,450,Prepara i pancake mescolando in una ciotola uova e zucchero. Aggiungi il latte e il lievito chimico e continua a mescolare. Aggiungi la farina integrale e mescola. Lascia riposare per 30 minuti. Scalda una padella con una noce di burro e cuoci i pancake. Una volta pronti spostali su un piatto. Servire con sciroppo d’acero.
Colazione,Muesli con latte di mandorla,350,Mescolare muesli con latte di mandorla e lasciare riposare per qualche minuto.
Colazione,Omelette con verdure,300,Sbattere le uova. Aggiustare di sale e pepe e cuocerle in una padella. Aggiungere le verdure tritate e cuocere fino a solidificazione.
Colazione,Pane integrale con burro di arachidi,350,Spalmare burro di arachidi su fette di pane integrale.
Colazione,Frullato di fragole e avena,300,"Frullare fragole, avena e latte fino a ottenere un composto liscio."
Colazione,Muffin alla banana e noci,400,"Per preparare l'impasto dei muffin inizia preriscaldando il forno a 180 gradi. In una ciotola grande setaccia la farina con il lievito ed il sale e mescola. In un'altra ciotola sbatti le uova con il latte e l'olio. Se vuoi aggiungi degli aromi. Versa gli ingredienti liquidi nei secchi poco per volta e mescola lentamente. Ora aggiungi banane tagliate a fettine e noci. Versa l'impasto nei pirottini ed inforna. Cuoci per 18-20 minuti."
Colazione,Croissant con marmellata,420,Riempire croissant con marmellata a piacere.
Colazione,Uova strapazzate con spinaci,350,Per preparare le uova strapazzate rompi le uova in un tegame. Aggiungi un cucchiaio di latte e sbatti per qualche minuti. Aggiusta di sale e pepe. Cuoci le uova mescolandole così da strapazzarle. Una volta pronte aggiungere spinaci freschi.
Pranzo,Insalata di Quinoa e Ceci,450,Cuocere la quinoa in abbondante acqua per almeno 15 minuti. A parte lessare i ceci. Una volta cotto il tutto unire gli ingredienti in una ciotola. Aggiustare di sale e pepe e aggiungere un filo d'olio.
Pranzo,Petto di Pollo alla Griglia con Verdure,500,Grigliare petto di pollo e servirlo con una selezione di verdure grigliate.
Pranzo,Pasta Integrale con Pomodorini e Basilico,400,Lessa la pasta e cuocila secondo i tempi indicati sulla confezione. A parte taglia i pomodorini. Cotta la pasta aggiungi i pomodorini e il basilico. Aggiungi un filo d'olio.
Pranzo,Zuppa di Lenticchie e Spinaci,350, Per preparare una zuppa di lenticchie inizia pulendo carota e cipolla. In un tegame versa un filo d'olio e fai rosolare le verdure. Una volta dorate aggiungi le lenticchie e dell'acqua e fai cuocere per almeno 30 minuti. A parte cuoci gli spinaci in una padella. Aggiusta sia le lenticchie che gli spinaci con sale e pepe e poi riunisci il tutto in una piatto.
Pranzo,Wrap di Pollo e Avocado,500, Riscalda una griglia e una volte bollente inizia a grigliare il pollo. Taglia l'avocado a fette. Riscalda un wrap su una padella antiaderente e condiscila con ingredienti e spezie a piacimento. Chiudi il wrap e porgi su un piatto.
Pranzo,Salmone al Forno con Asparagi,450,Cuocere il salmone al forno. Pulisci gli asparagi togliendo il gambo. A parte in una padella versa un filo d'olio e una volta caldo aggiungi gli asparagi. Falli cuocere per una decina di minuti. Una volta pronto il tutto impiatta.
Pranzo,Riso Integrale con Zucchine e Tofu,400,Prendi una casseruola e porta dell'acqua ad ebolizzione. Arrivata al bollore versa il riso integrale e fai cuocere seguendo i tempi indicati sulla confezione. Prendi le zucchine e puliscile. Tagliale. Una volta tagliate cuocile in un padella antiaderente con un filo d'olio. Una volta cotte fai rosolare anche il tofu tagliato a cubetti. Quando il riso è pronto scolalo e versalo in un piatto. Aggiungi le zucchine e il tofu.
Pranzo,"Buddha Bowl con Riso, avocado, ceci e verdure fresche",500,"Preparare una Buddha bowl inizia cuocendo il riso secondo i tempi sulla confezione. Lessa i ceci in una casseruola a parte. Pulisci e taglia le verdure che più preferisci. Pulisci e taglia a cubetti l'avocado. Una volta che il riso è pronto riunisci tutti gli ingredienti in una bowl."
Pranzo,Hamburger di Tacchino con Patate Dolci,550,Formare gli hamburger di tacchino con del macinato magro di tacchino. Pela le patate e tagliale della forma che preferisci. Infornare prima le patate a 200° per 30-35 minuti. A 10 minuti dalla fine unire alle patate gli hamburger e far cuocere il tutto. Una volta pronto impiatta.
Pranzo,Insalata di Farro e Verdure,400,Mescolare farro cotto con verdure fresche e condire con olio d'oliva e limone.
Pranzo,Pizza Margherita Fatta in Casa,600,Preparare l'impasto per la pizza con acqua farina lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia aggiungendo il pomodoro la mozzarella tagliata olio e parmigiano. Cuocere in forno preriscaldato a 200° per 20 minuti.
Pranzo,Stufato di Manzo con Patate,550,Cuocere il manzo in una padella già calda con dell'olio fino a che non raggiunge la doratura. Tagliare finemente e aggiungere la cipolla la carota e l'aglio lasciando soffriggere. Infine aggiungere le patate tagliate a piacere insieme a sale pepe e rosmarino. Far cuocere tutto a fuoco lento per un'ora.
Pranzo,Frittata di Zucchine e Cipolle,400,Lasciar cuocere per qualche minuto le zucchine tagliate a piacere in una padella insieme alla cipolla tagliata. Aggiungere sopra l'uovo sbattutto con sale e parmigiano. Lasciar cuocere da entrambi i lati. 
Pranzo,Orata al Forno con Verdure,450,Pulire l'orata e disporla su una teglia insieme al rosmarino all'aglio e al limone. Aggiungere verdure a scelta tagliate come si preferisce come zucchine e pomodorini. Cuocere insieme in forno a 180° per 30-40 minuti.
Pranzo,Bocconcini di Pollo con Insalata Mista,500,Taglia il petto di pollo a cubetti. Condiscili con sale pepe e spezie a piacere. Rosola i bocconcini in padella con un filo d'olio fino a doratura uniforme cuocendo per circa 10-15 minuti.
Pranzo,Risotto ai Funghi,500, Soffriggi cipolla e funghi in olio e aggiungi il riso e tostalo. Sfuma con vino bianco. Cuoci aggiungendo brodo gradualmente e manteca con burro e parmigiano a fine cottura.
Pranzo,Lasagna Vegetariana,600, Alterna strati di pasta con verdure grigliate salsa di pomodoro e besciamella aggiungendo mozzarella o parmigiano tra gli strati. Cuoci in forno a 180°C per circa 30-40 minuti fino a doratura.
Pranzo,Sushi Fatto in Casa,450,Cuoci il riso per sushi. Condiscilo con aceto di riso zucchero e sale. Stendilo su fogli di alga nori. Aggiungi pesce crudo verdure o altri ingredienti a piacere. Arrotola il tutto con una stuoia di bambù e taglia a fette.
Pranzo,Couscous con Verdure e Pollo,500,Cuoci il pollo a cubetti in padella con olio e spezie. Aggiungi verdure come zucchine peperoni e carote fino a farle ammorbidire. Prepara il couscous con brodo caldo. Sgranalo e mescolalo con il pollo e le verdure prima di servire.
Pranzo,Tacchino alla Griglia con Verdure,400, Marina le fette di tacchino con olio limone aglio e spezie. Poi grigliale fino a cottura. Griglia le verdure e servi tutto insieme caldo.
Pranzo,Insalata di Riso con Tonno,450,Cuoci il riso. Scolalo e lascialo raffreddare. Mescolalo con tonno sgocciolato e verdure a dadini (come pomodori o peperoni o olive) e condisci con olio sale e pepe. Se preferisci aggiungi anche carote e formaggio e insalata per renderla più gustosa. Lasciar raffreddare così che i sapori si possano unire.
Pranzo,Zuppa di Miso con Tofu,200,Inizia riscaldando il brodo dashi in una pentola. Sciogli la pasta di miso nel brodo mescolando bene e aggiungi cubetti di tofu e alghe wakame. Cuoci a fuoco basso per qualche minuto senza far bollire e guarnisci con cipollotto affettato prima di servire.
Pranzo,Piadina Integrale con Prosciutto e Rucola,300,Inizia cuocendo la piadina integrale in una padella calda fino a doratura su entrambi i lati. Farcisci con fette di prosciutto crudo e rucola fresca aggiungendo eventualmente un po' di formaggio cremoso o una leggera spalmata di senape. Arrotola la piadina e servila calda o a temperatura ambiente.
Pranzo,Pollo alla Cacciatora,500,Rosola i pezzi di pollo in una padella con olio fino a doratura. Aggiungi cipolla e aglio e pomodori pelati e olive nere e capperi. Cuoci il tutto a fuoco lento fino a quando il pollo è tenero e il sugo si è addensato. Aggiusta di sale e pepe e servi con contorni a piacere.
Pranzo,Melanzane alla Parmigiana,400, Affetta le melanzane. Grigliale o friggi fino a doratura e asciugale su carta assorbente. Alterna strati di melanzane con salsa di pomodoro e mozzarella in una teglia cospargendo ogni strato con parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando il formaggio è fuso e dorato.
Pranzo,Insalata di Pollo con Avocado,350,Griglia o cuoci il petto di pollo poi taglialo a strisce e lascialo raffreddare. Mescola il pollo con avocado a cubetti e pomodorini e cetrioli e un po' di cipolla rossa. Condisci con olio d'oliva e succo di limone e sale e pepe. Servi l'insalata fresca guarnita con erbe aromatiche come prezzemolo o coriandolo.
Pranzo,Ratatouille,300,Cuocere patate e verdure (tagliate entrambe secondo le proprie preferenze) in padella con aromi a scelta in base alle proprie preferenza per preparare un ratatouille.
Pranzo,Farfalle al Pesto,400,Far bollire le farfalle fino alla cottura (indicata sulla busta della pasta). Scolarle e aggiungere pesto di basilico con olio. Servire con una grattugiata di parmigiano.
Pranzo,Gnocchi di Patate con Pomodoro,500,Preparare gli gnocchi con patate insieme a farina e acqua. Creare l'impasto e da lì staccare piccole quantità per realizzare gli gnocchi. Cuocere per pochi minuti in acqua e unire il tutto in salsa di pomodoro.
Pranzo,Polenta con Funghi,400,Preparare polenta in pentola per quaranta minuti ricordandosi di girare sempre. Intanto tagliare e far cuocere i funghi in padella con olio. Servire il tutto insieme. 
Pranzo,Insalata di Pollo e Verdure,350,Griglia o cuoci il petto di pollo. Poi taglialo a strisce e lascialo raffreddare. Mescola il pollo con verdure a cubetti come pomodorini cetrioli e un po' di cipolla rossa. Condisci con olio d'oliva e succo di limone e sale e pepe. Servi l'insalata fresca guarnita con erbe aromatiche come prezzemolo o coriandolo.
Pranzo,Pasta al Pesto di Rucola,400,Frulla rucola con pinoli e parmigiano e aglio e olio d'oliva fino a ottenere un pesto omogeneo. Cuoci la pasta al dente e scolala poi mescolala con il pesto di rucola. Servi subito ed eventualmente aggiungendo un po' di parmigiano grattugiato e un filo d'olio d'oliva.
Pranzo,Zuppa di Carote e Zenzero,300, Soffriggi cipolla e zenzero grattugiato in olio d'oliva fino a doratura. Poi aggiungi carote tagliate a pezzi e brodo vegetale. Cuoci fino a quando le carote sono tenere quindi frulla il tutto fino a ottenere una consistenza cremosa. Aggiusta di sale e pepe e servi caldo con un filo di panna o yogurt greco.
Pranzo,Couscous con Pollo e Verdure,450,Cuoci il pollo a cubetti in una padella con olio e spezie fino a doratura. Poi aggiungi verdure come zucchine peperoni e carote e cuoci fino a quando sono tenere. Prepara il couscous seguendo le istruzioni sulla confezione utilizzando brodo per aggiungere sapore. Mescola il couscous con il pollo e le verdure. Servi caldo guarnito con erbe fresche se desideri.
Pranzo,Pasta con Salsa di Pomodoro e Basilico,400,Cuocere pasta e condirla con salsa di pomodoro e basilico fresco.
Pranzo,Insalata di Ceci e Avocado,400,Mescola ceci cotti e scolati con avocado a cubetti E pomodorini tagliati e cetrioli. Condisci con olio d'oliva e succo di limone e sale e pepe. Aggiungi erbe fresche come prezzemolo o coriandolo. Mescola bene e servi subito oppure lascia riposare in frigorifero per far amalgamare i sapori.
Pranzo,Frittata di Spinaci e Pomodorini,350,Sbatti le uova con sale e pepe e aggiungi spinaci freschi e pomodorini tagliati a metà. Versa il composto in una padella calda con un po' d'olio e cuoci a fuoco medio coprendo con un coperchio fino a quando la frittata è ben cotta e dorata. Se desideri puoi finirla sotto il grill per qualche minuto per una doratura uniforme.
Pranzo,Pollo al Limone con Verdure,500,Rosola i pezzi di pollo in una padella con olio. Aggiungi aglio e succo di limone. Aggiungi verdure come zucchine e peperoni e carote. Cuoci fino a quando il pollo è ben cotto e le verdure sono tenere. Aggiusta di sale e pepe e servi il piatto caldo guarnito con fette di limone e prezzemolo se desideri.
Pranzo,Pizza con Verdure Grigliate,600,Preparare l'impasto per la pizza con acqua farina lievito e un pizzico di sale. Far lievitare per 4/5 ore minimo e mantenere l'impasto al caldo. Stendere l'impasto su una teglia aggiungendo mozzarella e le verdure grigliate e tagliate a piacere. Far cuocere per 20 minuti in forno preriscaldato a 200°.
Pranzo,Insalata di Riso con Verdure e Tofu,450,Cuoci il riso e lascialo raffreddare. Griglia o rosola il tofu a cubetti e mescolalo con verdure a dadini come peperoni e zucchine e pomodorini. Unisci il riso e il tofu alle verdure e condisci con olio d'oliva e succo di limone e sale e pepe. Servi freddo o a temperatura ambiente.
Pranzo,Sgombro al Forno con Patate,500,Preriscalda il forno a 200°C (390°F).Pela le patate (se preferisci) e tagliale a spicchi o a cubetti.Una volta che il forno è caldo riponi lo sgombro nella teglia e inforna. Cuoci per 30 minuti.
Pranzo,Zuppa di Pomodoro con Basilico,300,Soffriggi cipolla e aglio in olio d'oliva fino a doratura. Poi aggiungi pomodori pelati e brodo vegetale cuocendo fino a quando i pomodori sono ben ammorbiditi. Frulla il tutto fino a ottenere una crema liscia e aggiusta di sale e pepe. Infine aggiungi foglie di basilico fresco e servi la zuppa calda guarnita con un filo d'olio d'oliva.
Pranzo,Polpettone di Tacchino con Purè di Patate,550,Mescola carne di tacchino macinata con uova e pane grattugiato e cipolla tritata e spezie. Forma un polpettone e cuocilo in forno a 180°C per circa 40-50 minuti. Nel frattempo lessa le patate. Schiacciale e condiscile con burro latte sale e pepe fino a ottenere un purè cremoso. Servi il polpettone a fette con una generosa porzione di purè di patate.
Pranzo,Spaghetti con Vongole,400,Cuoci gli spaghetti al dente secondo le istruzioni del pacchetto. In una padella soffriggi aglio e peperoncino in olio d'oliva poi aggiungi le vongole pulite e copri fino a quando si aprono. Unisci gli spaghetti scolati al sugo delle vongole e mescola bene. Guarnisci con prezzemolo fresco tritato prima di servire.
Pranzo,Insalata di Tonno e Fagioli,500,Mescola tonno sgocciolato e fagioli cannellini o borlotti entrambi ben scolati. Aggiungi cipolla rossa a fette sottili e pomodorini tagliati e olive nere. Poi condisci con olio d'oliva e succo di limone e sale e pepe. Mescola bene e servi l'insalata fresca eventualmente guarnita con prezzemolo tritato.
Pranzo,Lasagna con Carne e Besciamella,600,Alterna strati di lasagne precotte con ragù di carne (preparato con carne macinata e pomodoro e spezie) e besciamella fatta in casa. Copri l'ultimo strato con una generosa quantità di besciamella e parmigiano grattugiato. Cuoci in forno a 180°C per circa 30-40 minuti fino a quando la superficie è dorata e croccante.
Pranzo,Pollo al Curry con Riso Basmati,400,Rosola pezzi di pollo in una padella con olio aggiungendo cipolla e aglio e spezie come curry in polvere. Aggiungi latte di cocco o pomodoro e cuoci fino a quando il pollo è tenero e il sugo si è addensato. Cuoci il riso basmati seguendo le istruzioni sulla confezione e servi il pollo al curry sopra il riso caldo guarnito con coriandolo fresco se desideri.
Pranzo,Couscous con Verdure e Ceci,450,Cuoci il couscous seguendo le istruzioni sulla confezione utilizzando brodo per un sapore extra. In una padella rosola cipolla carote zucchine e peperoni fino a quando sono tenere. Poi aggiungi ceci precotti e mescola bene. Unisci le verdure e i ceci al couscous. Condisci con olio d'oliva succo di limone sale e pepe. Servi caldo o a temperatura ambiente.
Pranzo,Insalata di Pollo e Frutta,400,Cuoci il petto di pollo e lascialo raffreddare. Poi taglialo a strisce e mescolalo con frutta a cubetti come mela o pera o uva. Aggiungi ingredienti come noci tostate o foglie di spinaci o rucola e condisci con una vinaigrette leggera a base di olio d'oliva e succo di limone. Mescola bene e servi l'insalata fresca eventualmente guarnita con un po' di formaggio feta sbriciolato.
Pranzo,Orata al Forno con Limone e Rosmarino,450,Infila fette di limone e rametti di rosmarino nella cavità del pesce già eviscerato e sciacquato. Condisci l'orata con olio d'oliva e sale e pepe. Cuocila in forno a 180°C per circa 20-25 minuti o fino a quando la carne è opaca e si sfalda facilmente. Servi l'orata calda guarnita con ulteriori fette di limone e rosmarino fresco se desideri.
Pranzo,Spaghetti con Sugo di Pomodoro e Basilico,400,Cuocere spaghetti e condirli con sugo di pomodoro e basilico.
Pranzo,Stufato di Manzo con Verdure,550,Rosola i pezzi di manzo in una pentola con olio fino a doratura. Poi aggiungi cipolla aglio e spezie come rosmarino e timo. Unisci verdure a pezzi come carote patate e sedano. Copri con brodo di carne cuocendo a fuoco lento per circa 1-2 ore fino a quando il manzo è tenero e il sugo si è addensato. Aggiusta di sale e pepe e servi caldo con un contorno di purè o pane croccante.
Pranzo,Frittata con Zucchine e Cipolle,350,Soffriggi cipolla e zucchine a fette in olio d'oliva fino a quando sono tenere. Versa le uova sbattute sopra le verdure. Cuoci a fuoco medio fino a quando la frittata è ben cotta e dorata. Poi girala per cuocere anche l'altro lato se necessario.
